"TIME","GEO","NA_ITEM","AGGREG","Value","Flag and Footnotes"
"2007","Estonia","Real expenditure (in PPS_EU28)","Gross Domestic Product","24,273",""
"2007","Ireland","Real expenditure (in PPS_EU28)","Gross Domestic Product","169,548",""
"2007","Greece","Real expenditure (in PPS_EU28)","Gross Domestic Product","266,762",""
"2007","Spain","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,215,199",""
"2007","France","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,798,744",""
"2007","Croatia","Real expenditure (in PPS_EU28)","Gross Domestic Product","68,695",""
"2007","Italy","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,637,590",""
"2007","Cyprus","Real expenditure (in PPS_EU28)","Gross Domestic Product","20,772",""
"2007","Latvia","Real expenditure (in PPS_EU28)","Gross Domestic Product","32,881",""
"2007","Lithuania","Real expenditure (in PPS_EU28)","Gross Domestic Product","50,861",""
"2007","Luxembourg","Real expenditure (in PPS_EU28)","Gross Domestic Product","33,227",""
"2007","Hungary","Real expenditure (in PPS_EU28)","Gross Domestic Product","157,736",""
"2007","Malta","Real expenditure (in PPS_EU28)","Gross Domestic Product","8,346",""
"2007","Netherlands","Real expenditure (in PPS_EU28)","Gross Domestic Product","592,740",""
"2007","Austria","Real expenditure (in PPS_EU28)","Gross Domestic Product","269,357",""
"2007","Poland","Real expenditure (in PPS_EU28)","Gross Domestic Product","527,510",""
"2007","Portugal","Real expenditure (in PPS_EU28)","Gross Domestic Product","223,393",""
"2007","Romania","Real expenditure (in PPS_EU28)","Gross Domestic Product","237,417",""
"2007","Slovenia","Real expenditure (in PPS_EU28)","Gross Domestic Product","45,922",""
"2007","Slovakia","Real expenditure (in PPS_EU28)","Gross Domestic Product","93,765",""
"2007","Finland","Real expenditure (in PPS_EU28)","Gross Domestic Product","164,362",""
"2007","Sweden","Real expenditure (in PPS_EU28)","Gross Domestic Product","306,359",""
"2007","United Kingdom","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,789,733",""
"2007","Iceland","Real expenditure (in PPS_EU28)","Gross Domestic Product","10,571",""
"2007","Norway","Real expenditure (in PPS_EU28)","Gross Domestic Product","216,972",""
"2007","Switzerland","Real expenditure (in PPS_EU28)","Gross Domestic Product","309,632",""
"2007","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product","129,008",""
"2007","Montenegro","Real expenditure (in PPS_EU28)","Gross Domestic Product","6,319",""
"2007","Former Yugoslav Republic of Macedonia, the","Real expenditure (in PPS_EU28)","Gross Domestic Product","15,736",""
"2007","Albania","Real expenditure (in PPS_EU28)","Gross Domestic Product","17,813",""
"2007","Serbia","Real expenditure (in PPS_EU28)","Gross Domestic Product","63,742",""
"2007","Turkey","Real expenditure (in PPS_EU28)","Gross Domestic Product","851,679",""
"2007","Bosnia and Herzegovina","Real expenditure (in PPS_EU28)","Gross Domestic Product","25,398",""
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product",":",""
"2007","United States","Real expenditure (in PPS_EU28)","Gross Domestic Product","11,912,335",""
"2007","Japan","Real expenditure (in PPS_EU28)","Gross Domestic Product","3,640,195",""
"2008","Belgium","Real expenditure (in PPS_EU28)","Gross Domestic Product","322,755",""
"2008","Bulgaria","Real expenditure (in PPS_EU28)","Gross Domestic Product","84,844",""
"2008","Czechia","Real expenditure (in PPS_EU28)","Gross Domestic Product","228,513",""
"2008","Denmark","Real expenditure (in PPS_EU28)","Gross Domestic Product","179,209",""
"2008","Germany (until 1990 former territory of the FRG)","Real expenditure (in PPS_EU28)","Gross Domestic Product","2,467,669",""
"2008","Estonia","Real expenditure (in PPS_EU28)","Gross Domestic Product","23,948",""
"2008","Ireland","Real expenditure (in PPS_EU28)","Gross Domestic Product","157,117",""
"2008","Greece","Real expenditure (in PPS_EU28)","Gross Domestic Product","270,130",""
"2008","Spain","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,215,278",""
"2008","France","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,785,432",""
"2008","Croatia","Real expenditure (in PPS_EU28)","Gross Domestic Product","70,968",""
"2008","Italy","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,645,855",""
"2008","Cyprus","Real expenditure (in PPS_EU28)","Gross Domestic Product","21,649",""
"2008","Latvia","Real expenditure (in PPS_EU28)","Gross Domestic Product","33,437",""
"2008","Lithuania","Real expenditure (in PPS_EU28)","Gross Domestic Product","52,430",""
"2008","Luxembourg","Real expenditure (in PPS_EU28)","Gross Domestic Product","33,478",""
"2008","Hungary","Real expenditure (in PPS_EU28)","Gross Domestic Product","164,042",""
"2008","Malta","Real expenditure (in PPS_EU28)","Gross Domestic Product","8,474",""
"2008","Netherlands","Real expenditure (in PPS_EU28)","Gross Domestic Product","603,301",""
"2008","Austria","Real expenditure (in PPS_EU28)","Gross Domestic Product","271,707",""
"2008","Poland","Real expenditure (in PPS_EU28)","Gross Domestic Product","551,690",""
"2008","Portugal","Real expenditure (in PPS_EU28)","Gross Domestic Product","222,210",""
"2008","Romania","Real expenditure (in PPS_EU28)","Gross Domestic Product","271,484",""
"2008","Slovenia","Real expenditure (in PPS_EU28)","Gross Domestic Product","47,321",""
"2008","Slovakia","Real expenditure (in PPS_EU28)","Gross Domestic Product","100,715",""
"2008","Finland","Real expenditure (in PPS_EU28)","Gross Domestic Product","167,833",""
"2008","Sweden","Real expenditure (in PPS_EU28)","Gross Domestic Product","305,315",""
"2008","United Kingdom","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,779,233",""
"2008","Iceland","Real expenditure (in PPS_EU28)","Gross Domestic Product","10,866",""
"2008","Norway","Real expenditure (in PPS_EU28)","Gross Domestic Product","232,713",""
"2008","Switzerland","Real expenditure (in PPS_EU28)","Gross Domestic Product","317,810",""
"2008","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product","138,960",""
"2008","Montenegro","Real expenditure (in PPS_EU28)","Gross Domestic Product","6,737",""
"2008","Former Yugoslav Republic of Macedonia, the","Real expenditure (in PPS_EU28)","Gross Domestic Product","17,020",""
"2008","Albania","Real expenditure (in PPS_EU28)","Gross Domestic Product","19,165",""
"2008","Serbia","Real expenditure (in PPS_EU28)","Gross Domestic Product","69,250",""
"2008","Turkey","Real expenditure (in PPS_EU28)","Gross Domestic Product","893,395",""
"2008","Bosnia and Herzegovina","Real expenditure (in PPS_EU28)","Gross Domestic Product","26,788",""
"2008","Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product",":",""
"2008","United States","Real expenditure (in PPS_EU28)","Gross Domestic Product","11,627,184",""
"2008","Japan","Real expenditure (in PPS_EU28)","Gross Domestic Product","3,521,806",""
"2009","Belgium","Real expenditure (in PPS_EU28)","Gross Domestic Product","312,120",""
"2009","Bulgaria","Real expenditure (in PPS_EU28)","Gross Domestic Product","80,099",""
"2009","Czechia","Real expenditure (in PPS_EU28)","Gross Domestic Product","219,239",""
"2009","Denmark","Real expenditure (in PPS_EU28)","Gross Domestic Product","169,461",""
"2009","Germany (until 1990 former territory of the FRG)","Real expenditure (in PPS_EU28)","Gross Domestic Product","2,307,547",""
"2009","Estonia","Real expenditure (in PPS_EU28)","Gross Domestic Product","20,811",""
"2009","Ireland","Real expenditure (in PPS_EU28)","Gross Domestic Product","143,578",""
"2009","Greece","Real expenditure (in PPS_EU28)","Gross Domestic Product","256,526",""
"2009","Spain","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,142,221",""
"2009","France","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,707,065",""
"2009","Croatia","Real expenditure (in PPS_EU28)","Gross Domestic Product","65,604",""
"2009","Italy","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,551,325",""
"2009","Cyprus","Real expenditure (in PPS_EU28)","Gross Domestic Product","20,827",""
"2009","Latvia","Real expenditure (in PPS_EU28)","Gross Domestic Product","27,483",""
"2009","Lithuania","Real expenditure (in PPS_EU28)","Gross Domestic Product","43,654",""
"2009","Luxembourg","Real expenditure (in PPS_EU28)","Gross Domestic Product","31,152",""
"2009","Hungary","Real expenditure (in PPS_EU28)","Gross Domestic Product","157,432",""
"2009","Malta","Real expenditure (in PPS_EU28)","Gross Domestic Product","8,201",""
"2009","Netherlands","Real expenditure (in PPS_EU28)","Gross Domestic Product","560,328",""
"2009","Austria","Real expenditure (in PPS_EU28)","Gross Domestic Product","259,716",""
"2009","Poland","Real expenditure (in PPS_EU28)","Gross Domestic Product","558,493",""
"2009","Portugal","Real expenditure (in PPS_EU28)","Gross Domestic Product","212,763",""
"2009","Romania","Real expenditure (in PPS_EU28)","Gross Domestic Product","255,496",""
"2009","Slovenia","Real expenditure (in PPS_EU28)","Gross Domestic Product","42,625",""
"2009","Slovakia","Real expenditure (in PPS_EU28)","Gross Domestic Product","94,471",""
"2009","Finland","Real expenditure (in PPS_EU28)","Gross Domestic Product","153,617",""
"2009","Sweden","Real expenditure (in PPS_EU28)","Gross Domestic Product","280,740",""
"2009","United Kingdom","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,646,927",""
"2009","Iceland","Real expenditure (in PPS_EU28)","Gross Domestic Product","10,152",""
"2009","Norway","Real expenditure (in PPS_EU28)","Gross Domestic Product","203,606",""
"2009","Switzerland","Real expenditure (in PPS_EU28)","Gross Domestic Product","304,916",""
"2009","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product","134,460",""
"2009","Montenegro","Real expenditure (in PPS_EU28)","Gross Domestic Product","6,125",""
"2009","Former Yugoslav Republic of Macedonia, the","Real expenditure (in PPS_EU28)","Gross Domestic Product","17,176",""
"2009","Albania","Real expenditure (in PPS_EU28)","Gross Domestic Product","19,628",""
"2009","Serbia","Real expenditure (in PPS_EU28)","Gross Domestic Product","65,870",""
"2009","Turkey","Real expenditure (in PPS_EU28)","Gross Domestic Product","840,277",""
"2009","Bosnia and Herzegovina","Real expenditure (in PPS_EU28)","Gross Domestic Product","25,661",""
"2009","Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product",":",""
"2009","United States","Real expenditure (in PPS_EU28)","Gross Domestic Product","10,989,816",""
"2009","Japan","Real expenditure (in PPS_EU28)","Gross Domestic Product","3,233,286",""
"2010","Belgium","Real expenditure (in PPS_EU28)","Gross Domestic Product","333,962",""
"2010","Bulgaria","Real expenditure (in PPS_EU28)","Gross Domestic Product","84,523",""
"2010","Czechia","Real expenditure (in PPS_EU28)","Gross Domestic Product","221,779",""
"2010","Denmark","Real expenditure (in PPS_EU28)","Gross Domestic Product","182,557",""
"2010","Germany (until 1990 former territory of the FRG)","Real expenditure (in PPS_EU28)","Gross Domestic Product","2,452,449",""
"2010","Estonia","Real expenditure (in PPS_EU28)","Gross Domestic Product","21,991",""
"2010","Ireland","Real expenditure (in PPS_EU28)","Gross Domestic Product","151,081",""
"2010","Greece","Real expenditure (in PPS_EU28)","Gross Domestic Product","239,571",""
"2010","Spain","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,137,885",""
"2010","France","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,786,548",""
"2010","Croatia","Real expenditure (in PPS_EU28)","Gross Domestic Product","65,023",""
"2010","Italy","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,588,107",""
"2010","Cyprus","Real expenditure (in PPS_EU28)","Gross Domestic Product","21,094",""
"2010","Latvia","Real expenditure (in PPS_EU28)","Gross Domestic Product","28,186",""
"2010","Lithuania","Real expenditure (in PPS_EU28)","Gross Domestic Product","47,621",""
"2010","Luxembourg","Real expenditure (in PPS_EU28)","Gross Domestic Product","33,215",""
"2010","Hungary","Real expenditure (in PPS_EU28)","Gross Domestic Product","164,803",""
"2010","Malta","Real expenditure (in PPS_EU28)","Gross Domestic Product","8,821",""
"2010","Netherlands","Real expenditure (in PPS_EU28)","Gross Domestic Product","572,710",""
"2010","Austria","Real expenditure (in PPS_EU28)","Gross Domestic Product","268,855",""
"2010","Poland","Real expenditure (in PPS_EU28)","Gross Domestic Product","612,791",""
"2010","Portugal","Real expenditure (in PPS_EU28)","Gross Domestic Product","220,962",""
"2010","Romania","Real expenditure (in PPS_EU28)","Gross Domestic Product","262,887",""
"2010","Slovenia","Real expenditure (in PPS_EU28)","Gross Domestic Product","43,488",""
"2010","Slovakia","Real expenditure (in PPS_EU28)","Gross Domestic Product","102,994",""
"2010","Finland","Real expenditure (in PPS_EU28)","Gross Domestic Product","158,997",""
"2010","Sweden","Real expenditure (in PPS_EU28)","Gross Domestic Product","298,795",""
"2010","United Kingdom","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,729,835",""
"2010","Iceland","Real expenditure (in PPS_EU28)","Gross Domestic Product","9,633",""
"2010","Norway","Real expenditure (in PPS_EU28)","Gross Domestic Product","216,888",""
"2010","Switzerland","Real expenditure (in PPS_EU28)","Gross Domestic Product","317,784",""
"2010","Candidate and potential candidate countries except Turkey and Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product","139,681",""
"2010","Montenegro","Real expenditure (in PPS_EU28)","Gross Domestic Product","6,464",""
"2010","Former Yugoslav Republic of Macedonia, the","Real expenditure (in PPS_EU28)","Gross Domestic Product","17,866",""
"2010","Albania","Real expenditure (in PPS_EU28)","Gross Domestic Product","21,464",""
"2010","Serbia","Real expenditure (in PPS_EU28)","Gross Domestic Product","67,381",""
"2010","Turkey","Real expenditure (in PPS_EU28)","Gross Domestic Product","964,533",""
"2010","Bosnia and Herzegovina","Real expenditure (in PPS_EU28)","Gross Domestic Product","26,507",""
"2010","Kosovo (under United Nations Security Council Resolution 1244/99)","Real expenditure (in PPS_EU28)","Gross Domestic Product",":",""
"2010","United States","Real expenditure (in PPS_EU28)","Gross Domestic Product","11,473,174",""
"2010","Japan","Real expenditure (in PPS_EU28)","Gross Domestic Product","3,429,072",""
"2011","Belgium","Real expenditure (in PPS_EU28)","Gross Domestic Product","343,801",""
"2011","Bulgaria","Real expenditure (in PPS_EU28)","Gross Domestic Product","86,906",""
"2011","Czechia","Real expenditure (in PPS_EU28)","Gross Domestic Product","228,036",""
"2011","Denmark","Real expenditure (in PPS_EU28)","Gross Domestic Product","186,612",""
"2011","Germany (until 1990 former territory of the FRG)","Real expenditure (in PPS_EU28)","Gross Domestic Product","2,585,559",""
"2011","Estonia","Real expenditure (in PPS_EU28)","Gross Domestic Product","24,579",""
"2011","Ireland","Real expenditure (in PPS_EU28)","Gross Domestic Product","155,276",""
"2011","Greece","Real expenditure (in PPS_EU28)","Gross Domestic Product","219,010",""
"2011","Spain","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,130,868",""
"2011","France","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,845,709",""
"2011","Croatia","Real expenditure (in PPS_EU28)","Gross Domestic Product","67,039",""
"2011","Italy","Real expenditure (in PPS_EU28)","Gross Domestic Product","1,628,288",""
"2011","Cyprus","Real expenditure (in PPS_EU28)","Gross Domestic Product","21,307",""
"2011","Latvia","Real expenditure (in PPS_EU28)","Gross Domestic Product","30,726",""
"2011","Lithuania","Real expenditure (in PPS_EU28)","Gross Domestic Product","52,211",""
"2011","Luxembourg","Real expenditure (in PPS_EU28)","Gross Domestic Product","35,979",""
"2011","Hungary","Real expenditure (in PPS_EU28)","Gross Domestic Product","171,835",""
"2011","Malta","Real expenditure (in PPS_EU28)","Gross Domestic Product","8,988",""
"2011","Netherlands","Real expenditure (in PPS_EU28)","Gross Domestic Product","586,862",""
"2011","Austria","Real expenditure (in PPS_EU28)","Gross Domestic Product","281,428",""
"2011","Poland","Real expenditure (in PPS_EU28)","Gross Domestic Product","656,186",""
"2011","Portugal","Real expenditure (in PPS_EU28)","Gross Domestic Product","213,305",""
"2011","Romania","Real expenditure (in PPS_EU28)","Gross Domestic Product","272,196",""
"2011","Slovenia","Real expenditure (in PPS_EU28)","Gross Domestic Product","44,611",""
"2011","Slovakia","Real expenditure (in PPS_EU28)","Gross Domestic Product","105,219",""
"2011","Finland","Real expenditure (in PPS_EU28)","Gross Domestic Product","165,383",""
